Team,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value,Position,Goal_Difference,Points,Year,Squad_Size_Normalized_by_Avg,Squad_Size_Normalized_by_Max,Average_Age_Normalized_by_Avg,Average_Age_Normalized_by_Max,Number_of_Foreigners_Normalized_by_Avg,Number_of_Foreigners_Normalized_by_Max,Average_Market_Value_Normalized_by_Avg,Average_Market_Value_Normalized_by_Max,Total_Market_Value_Normalized_by_Avg,Total_Market_Value_Normalized_by_Max
everton fc,44,25.2,27,11.62,511.2,10,-1,59,2020,1.1,0.8301886792452831,0.9797822706065319,0.8936170212765957,1.1464968152866242,0.84375,1.0138731349794956,0.400551533953809,1.1170230200264397,0.49153846153846154
leicester city,40,25.8,27,12.77,510.6,5,18,66,2020,1.0,0.7547169811320755,1.0031104199066874,0.9148936170212767,1.1464968152866242,0.84375,1.114213419422389,0.4401930368838331,1.1157119601437797,0.4909615384615385
wolverhampton wanderers,38,24.4,32,11.85,450.3,13,-16,45,2020,0.95,0.7169811320754716,0.9486780715396579,0.8652482269503545,1.3588110403397027,1.0,1.0339411918680743,0.40847983453981385,0.9839504419364355,0.4329807692307692
aston villa,53,23.9,24,8.13,430.7,11,9,55,2020,1.325,1.0,0.9292379471228616,0.8475177304964538,1.019108280254777,0.75,0.7093621848006283,0.28024819027921405,0.9411224857695375,0.4141346153846154
west ham united,39,27.0,23,8.59,334.9,6,15,65,2020,0.975,0.7358490566037735,1.0497667185069985,0.9574468085106383,0.9766454352441614,0.71875,0.7494982985777855,0.2961047914512237,0.7317899245048017,0.3220192307692307
brighton & hove albion,46,24.9,30,6.31,290.4,16,-6,41,2020,1.15,0.8679245283018868,0.9681181959564541,0.8829787234042553,1.2738853503184713,0.9375,0.5505627781170928,0.2175112030334367,0.634552983207508,0.2792307692307692
southampton fc,39,25.0,22,7.25,282.8,15,-21,43,2020,0.975,0.7358490566037735,0.9720062208398135,0.8865248226950355,0.9341825902335457,0.6875,0.6325800540965012,0.24991382281971733,0.6179462246938129,0.27192307692307693
newcastle united,33,27.4,19,7.74,255.35,12,-16,45,2020,0.825,0.6226415094339622,1.0653188180404354,0.9716312056737588,0.8067940552016984,0.59375,0.6753337405112992,0.2668045501551189,0.5579652350621115,0.24552884615384615
fulham fc,38,27.0,30,6.31,239.75,18,-26,28,2020,0.95,0.7169811320754716,1.0497667185069985,0.9574468085106383,1.2738853503184713,0.9375,0.5505627781170928,0.2175112030334367,0.5238776781129478,0.23052884615384617
leeds united,39,25.1,24,6.11,238.1,9,8,59,2020,0.975,0.7358490566037735,0.9758942457231727,0.8900709219858157,1.019108280254777,0.75,0.5331122938661548,0.21061702861082385,0.5202722634356324,0.2289423076923077
